,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
481,Lacks a reasoning for the conclusion.,Irrelevant Conclusion,"""Islam is a religion of peace"" is a slogan it's good for PR but it has no grounding.",however,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
482,The premise is about omissible semicolons.,Irrelevant Conclusion,It is impossible to write a for loop without semicolons.,but,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
483,Argumentum ad traditionem,Fallacy Of Previous This,If the people you code with are used to spaces your arguing about spaces is counter-productive to your programming.,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
484,This is conclusion not an argument,Begging The Question,This is exactly the problem with tabs,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
485,Not really argument,Irrelevant Conclusion,"From resource point of view: It's 2016, no 1980.",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
486,"Implicit often means terse, when it comes to programming",Appeal To Belief,Explicit is better than implicit.,because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
487,This is just another way to phrase the original argument; explain why.,Begging The Question,The commonly-believed-in gods do have contradicting qualities.,but,Believing in god causes logical contradictions,https://en.arguman.org/believing-in-god-causes-logical-contradictions
488,Just because you use something often doesn't make it empirically better.,Slothful Induction,"I use python a lot, and I don't use ruby much...",because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
489,That it can happen doesn't mean it has to happen.,Fallacy Of Slippery Slope,"Without proper transparency individuals in organizations begin to ""cover their own ass"" and worry about their position in the long term, causing them to cut deals with those favorable to their own situation rather than favoring the organization or its constituents.",because,Privacy cannot exist when there is no transparency,https://en.arguman.org/privacy-cannot-exist-when-there-is-no-transparency
490,"God can't be a contradiction because god defines logic, according to the above argument.",Begging The Question,Believing in god can't cause logical contradictions if god is logic itself and the laws the surround it.,but,Believing in god causes logical contradictions,https://en.arguman.org/believing-in-god-causes-logical-contradictions
491,The kind of press something receives doesn’t affect it’s validity,Irrelevant Conclusion,Banning religions has historically had a bad press...,but,Sharia law should be banned from democratic countries,https://en.arguman.org/sharia-law-should-be-banned-from-democratic-countries
492,213,Joint Effect,"Нет, потому что холодно",but,Есть ли жизнь на марсе,https://en.arguman.org/est-li-zhizn-na-marse
493,Slippery Slope. Guns are the subject of the debate.,Fallacy Of Slippery Slope,"Exactly. Why, then, do we draw the line at guns? The right to bear arms is really quite arbitrary- the difference between allowing your average Joe to buy bombs and tanks and not allowing the sale of automatic/semi-automatic guns is not clearly defined in the Constitution.",because,"In the United States, any citizen should be allowed to own a gun.",https://en.arguman.org/in-the-united-states-any-citizen-should-be-allowed-to-own-a-gun
494,Fallacious because the wikipedia told me so,Appeal To Authority,History channel told me so.,because,The Earth has been visited by advanced extraterrestrial aliens.,https://en.arguman.org/the-earth-has-been-visited-by-advanced-extraterrestrial-aliens
495,This premise is fallacious because it is.,Irrelevant Conclusion,It is.,but,Feminism is not needed,https://en.arguman.org/feminism-is-not-needed
496,Assumes god,Appeal To Belief,"god created women, therefore, god is the root of all evil.",but,women are root of all evil,https://en.arguman.org/women-are-root-of-all-evil
497,Also joke,Appeal To Authority,Using iOS is actually a sin. Sorry.,but,iOS is better than Android,https://en.arguman.org/ios-is-better-than-android
498,Tf?,Irrelevant Conclusion,"You can fell of the stairs because of spaces, proof: watch?v=SsoOG6ZeyUI",because,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
499,"Where does this even come from?
I would assume this is a joke but I don't want to be rude if this is a serious response.",Irrelevant Conclusion,"But
only cops should be allowed to own bullets",but,"In the United States, any citizen should be allowed to own a gun.",https://en.arguman.org/in-the-united-states-any-citizen-should-be-allowed-to-own-a-gun
500,I wish I can choose 'Appeal to Emotion.' That's what this is. No evidence brought. It's all subjective emotion.,Begging The Question,"The death penalty is a barbaric waste of time and money, and court systems are not perfect.",but,The death penalty is acceptable in some cases,https://en.arguman.org/the-death-penalty-is-acceptable-in-some-cases
501,"The implicit argument was applying to sensibility of semicolons, not the orthography of the character.",Wrong Direction,"A semicolon `;` consists of a comma `,` and a point `•`.",however,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
502,"You can't absolutely judge what is the main appeal of any character, it's always open to interpretation.",Wrong Direction,"Humans in video games are created to appear and feel real (they have emotions, desires, wants and fears). If a female's design relies solely on her sexual appeal and doesn't reflect her personality, she is being objectified.",but,Video games do not cause sexual objectification of women,https://en.arguman.org/video-games-do-not-cause-objectification-of-women
503,,Irrelevant Conclusion,javascript is pointless,because,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
504,"The fact that A exploits B and B exploits C doesn't implicate that A exploits C, besides it's sad to realise that people despise the 1% believing it's mostly their immoral stance and not widely comprehended inteligence that got them there. Besides once we expropriate the top 1%, there's another top 1% and so on...",Fallacy Of False Cause,"The 1% should be expropriated, their richness comes from exploitation of the 99%'s work.",because,The top 1% should pay more in social security taxes in order to strengthen it and ensure its viability for decades to come.,https://en.arguman.org/the-top-1-should-pay-more-in-social-security-taxes-in-order-to-strengthen-it-and-ensure-its-viability-for-decades-to-come
505,We are trying to get an absolute view and not question whether it's proper to impose morality on others,Wrong Direction,It is not up to any one person to determine whether or not another individual should go about this.,however,Sexual intercourse before marriage is immoral,https://en.arguman.org/sexual-intercourse-before-marriage-is-immoral
506,Christianity (and related) as one largest single culture group has a clear view on the topic and it isn't open to interpretation,Wrong Direction,Morality is open to interpretation and it varies from society to society. Most societies (with very few exceptions) accept sex in or out of wedlock as what it is: a natural act.,however,Sexual intercourse before marriage is immoral,https://en.arguman.org/sexual-intercourse-before-marriage-is-immoral
507,"The parent was referring to splitting long statements to the span of several short lines. This is a common practice in many situations, and isn't by itself an indicator of bad code.",Fallacy Of Red Herring,Very long lines usually indicate poor quality code,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
508,Straw man argument. React is much more than that.,Fallacy Of Red Herring,"It's just createElement and innerHTML repackaged for cargo cult JS ""ninjas"".",because,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
509,"Completely irrgelevant for the agument; This is a potential solution, not an objection",Wrong Direction,People are uneducated. Massive open online courses could theoretically address the flaw.,because,"Democracy in its current state is fundamentally flawed, as it grossly overestimates the knowledge an average voter has about the political climate and the consequences political actions may have in the long run.",https://en.arguman.org/democracy-in-its-current-state-is-fundamentally-flawed-as-it-grossly-overestimates-the-knowledge-an-average-voter-has-about-the-political-climate-and-the-consequences-political-actions-may-have-in-the-long-run
510,This is simply just off topic.,Irrelevant Conclusion,"You can fell of the stairs because of spaces, proof: watch?v=SsoOG6ZeyUI",because,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
511,"That's no argument for not using tabs. You could say the same about spaces ""Don't use them, because you can mix them with tabs and that's worse.""",Irrelevant Conclusion,You can mix tabs with spaces which is even worse than having two separate indentation witdths,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
512,Your reality can be a simulated one.,Irrelevant Conclusion,"By merely being able to ask this question at a bare minimum I have a conscience that exists in a form of reality, even if everything I see, touch, taste, and feel is an illusion.",but,"Since simulation will become indistinguishable from reality, it logically follows that we are almost certainly already in a simulation.",https://en.arguman.org/since-simulation-will-become-indistinguishable-from-reality-it-logically-follows-that-we-are-almost-certainly-already-in-a-simulation
513,"Just because some old man in a toga said something, doesn't mean it's true.",Appeal To Authority,"""Cogito ergo sum""",but,We can know nothing for certain,https://en.arguman.org/we-can-know-nothing-for-certain
514,"The static typing is not the cause of larger files, but perhaps instead the style of the syntax. As a counter-example: a haskell implementation might be shorter than ColdFusion.",Fallacy Of False Cause,Static typing leads to large codebases with more files and classes compared to dynamically typed languages. It also forces the continual creation of logic which has nothing to do with the actual problem being solved. And which have to be maintained too.,however,Static typing is better than dynamic typing in programming languages.,https://en.arguman.org/static-typing-is-better-than-dynamic-typing-in-programming-languages
515,No evidence provided - only based personal experience.,Slothful Induction,well typed programs don't go wrong!,because,Static typing is better than dynamic typing in programming languages.,https://en.arguman.org/static-typing-is-better-than-dynamic-typing-in-programming-languages
516,The utility of React for anyone is not constrained to solving problems for themselves that are the same as Facebook's.,Fallacy Of Irrelevant Purpose,It solves problems you'll never encounter because you don't have Facebook scale.,because,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
517,"""easier ≠ better"" doesn't imply ""easier => worse""",Irrelevant Conclusion,Easier ≠ Better,but,React is killing Angular,https://en.arguman.org/react-is-killing-angular
518,This is an argument for why without government there is no police force. i.e. the precise opposite of the stated premise.,Fallacy Of False Cause,"Without taxation there is no police force, and it is the police that provide the death threat for stealing energy/money.",because,Without a police force there is no government,https://en.arguman.org/without-a-police-force-there-is-no-government
519,this does not prevent being useful,Irrelevant Conclusion,"A semicolon `;` consists of a comma `,` and a point `•`.",however,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
520,.,Appeal To Belief,You can not override builtin data structures,because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
521,'end',Appeal To Belief,Explicit is better than implicit.,because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
522,"Appeal to authority. Also Bootstrap has changed CSS frameworks before, they can do it again.",Appeal To Authority,bootstrap 4 use sass. we stick with bootstrap,but,postcss is better than scss for modern web development,https://en.arguman.org/postcss-is-better-than-scss
523,This completely ignores the question about the types.,Fallacy Of Irrelevant Purpose,,however,Static typing is better than dynamic typing in programming languages.,https://en.arguman.org/static-typing-is-better-than-dynamic-typing-in-programming-languages
524,"""Everybody knows"" is not acceptable.",Appeal To Authority,You pre suppose that we have evolved from something. This is inherently false. Erybody knows that God created Adam and Eve because Sims 4 was out of stock.,however,Humans are still evolving,https://en.arguman.org/humans-are-still-evolving
525,"The size of the universe might or might not be relevant. Things we are absolutely impossible, will be impossible regardless of the size of the universe.",Fallacy Of Irrelevant Purpose,"I sometimes like to think of how giant the observable universe is. we have no idea how much bigger it can be. The more matter there is in the universe, the closer it becomes for small possibilities such as another intelligent life to become a reality.",but,Believing aliens is just as illogical as believing god.,https://en.arguman.org/believing-aliens-is-just-as-illogical-as-believing-god
526,"What taxes are used for is irrelevant to assess whether or not they are ""theft"", which should hinge solely on the definition of theft.",Fallacy Of Irrelevant Purpose,Taxes go towards stuff that benefits the taxee.,because,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
527,Irrelevant,Fallacy Of Red Herring,That's why there's Redux!,but,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
528,Diverting the argument to the platform.,Fallacy Of Red Herring,"Again, the user ""mmbop"" is abusing the notion of a ""logical fallacy"". This could be evidence of a deeper issue with the Arguman product itself.",because,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
529,No proof that it simplifies developers' work. No baseline or comparison provided.,Slothful Induction,The hype is justified because it greatly simplifies developers' work.,however,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
530,God disagrees.,Begging The Question,Morality is open to interpretation and it varies from society to society. Most societies (with very few exceptions) accept sex in or out of wedlock as what it is: a natural act.,however,Sexual intercourse before marriage is immoral,https://en.arguman.org/sexual-intercourse-before-marriage-is-immoral
531,"His counterpoint is valid. React only serves to slow down ""real"" projects that consist of UI components that aren't simple (more than a todo app). How? By using React you inevitably add the steps of maintaining its ecosystem, researching its documentation, and relying on Facebook for their duplicate version of HTML, CSS and JS.",Irrelevant Conclusion,"Your logical fallacy is no true scotsman.
You made what could be called an appeal to purity as a way to dismiss relevant criticisms or flaws of your argument.",however,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
532,Just because something works and someone is using something means nothing.,Pragmatic Fallacy,"Many other people are using it, and it's backed by large corporation.
This means there is a large community working on tools which work with React.",because,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
533,"React is poorly documented, and duplicates what is already possible with HTML, CSS and JavaScript. This in itself is confusing.",Slothful Induction,The API is small and easy to understand.,because,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
534,No evidence.,Slothful Induction,The hype is justified because it greatly simplifies developers' work.,however,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
535,...,Irrelevant Conclusion,Popularity means it has been proven work.,because,Programming language popularity is a major factor in deciding whether or not to use it in a project.,https://en.arguman.org/programming-language-popularity-is-a-major-factor-in-deciding-whether-or-not-to-use-a-programming-language-in-a-project
536,personal preference has no bearing on whether a language is objectively better or not,Fallacy Of Irrelevant Purpose,"I use python a lot, and I don't use ruby much...",because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
537,This has nothing to do with whether it's good or hype.,Irrelevant Conclusion,Is made by facebook,because,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
538,"First, you provide no evidence for their historical intent, and second, the even if they did have a history of intentionally ""squashing startups"" (whatever that means), I fail to see how that applies to a virtual DOM technology.",Poisoning The Well,"It's marketed to developers by billion dollar Facebook, a company historically intent on squashing startups.",because,React is mostly hype.,https://en.arguman.org/react-is-mostly-hype
539,"This argument shifts the attention from the general to the particular case. Also, forcing people to adapt in this case is not necessarily good",Fallacy Of Red Herring,"@serecip (Fallacy of Special pleading)
maybe adapting is not good in general but it is good in that case",however,People should not adapt to other countries' customs,https://en.arguman.org/people-should-not-adapt-to-other-countries-customs
540,People being forced to adapt in some instances does not mean that adapting is good in general,Fallacy Of Special Pleading,"E.G. in basel (switzerland) people celebrate the ""Morgestraich"" at this time every building has to switch its lights of.
if you don't they block your window with paperboard and ducktape.
so if you move in that city you should adapt to this custom.",but,People should not adapt to other countries' customs,https://en.arguman.org/people-should-not-adapt-to-other-countries-customs
541,"""X is dangerous but Y saved more lives than X took""",Irrelevant Conclusion,[1] Nuclear medicine has saved more lives than any number of nuclear accidents and nuclear bombs have killed.,but,Nuclear power is the only green solution,https://en.arguman.org/nuclear-power-is-the-only-green-solution
542,Trump's popularity does not make his position right,Appeal To Belief,ye but who doesn't want a trump presidency,but,"Voting third party to ""prove a point"" just increases the odds of a Trump presidency",https://en.arguman.org/voting-third-party-to-prove-a-point-just-increases-the-odds-of-a-trump-presidency
543,"Appealing to Trump's popularity does not answer the purpose of the original argument, which is to say that third party voting makes a Trump win more likely.",Irrelevant Conclusion,ye but who doesn't want a trump presidency,but,"Voting third party to ""prove a point"" just increases the odds of a Trump presidency",https://en.arguman.org/voting-third-party-to-prove-a-point-just-increases-the-odds-of-a-trump-presidency
544,You cannot prove a causal link between these two things.,Fallacy Of False Cause,"I was bullied a bit growing up, and learned to adapt and deal with things, whether through violence, or other means. It made me stronger in the end",because,Bullying is not entirely a bad thing.,https://en.arguman.org/bullying-is-not-entirely-a-bad-thing
545,"Believing something does not make it true, regardless of how many believe it.",Appeal To Belief,We have an impression of having free will.,but,Free will (the existence of autonomous human decisions made neither predictably nor randomly) is not real.,https://en.arguman.org/free-will-the-idea-that-humans-make-decisions-in-a-way-that-is-not-predictable-is-not-random-and-is-under-the-control-of-the-person-is-not-real
546,The argument given is simply the inverse of the main statement.,Begging The Question,Decisions are made either predictably or randomly.,because,Free will (the existence of autonomous human decisions made neither predictably nor randomly) is not real.,https://en.arguman.org/free-will-the-idea-that-humans-make-decisions-in-a-way-that-is-not-predictable-is-not-random-and-is-under-the-control-of-the-person-is-not-real
547,"OO is NOT the only way to program, just because you like it doesn't make it right or the only path to follow",Irrelevant Conclusion,"Common web development languages (Namely JS and PHP) lack any kind of static typing, making traditional OO design impractical, necessitating the use of large frameworks to make up for deficiencies of the language.",because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
548,"You can still add a script tag and be up and running, no-one is forcing to use anyone elses' methods for build and deployment",Irrelevant Conclusion,"Years ago it was a simple script tag and you were up and running but now it takes too much time to set up a project structure that must include transpilers, modules and build tools. This complicates deployment and file handling at the end of the development process.",because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
549,Nobody needs to learn all of the frameworks and libraries that exist. Nobody needs to keep up with all of them. Each of them are tools designed to help solve a particular problem with a particular approach.,Irrelevant Conclusion,The number of frameworks and their rate of proliferation makes it impossible for anyone to keep up with them while still doing any actual work.,because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
550,"That's why more and more frameworks/libraries are switching to a modular approach. And if your issue is bundle size, use something that eliminates dead or unused code. Not a relevant complaint.",Fallacy Of False Cause,Just because an application uses part of a framework does not necessarily mean that the entire framework needs to be bundled.,however,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
551,This is at most a weak motive; it provides no evidence for involvement.,Fallacy Of Red Herring,"Iran was planning to trade their oil in currency other than USD. Esssentially lowering the value of the Dollar.Iraq had already begun trading in currency other than USD. The Attacks of 9/11 put the U.S. in the two main positions to make a ""show of force"" to Iran as well as seize Iraq oil.",because,Twin towers actually attacked by the US.,https://en.arguman.org/twin-towers-actually-attacked-by-the-us
552,Benefit does not imply causation.,Fallacy Of False Cause,It allowed the US forces to advance their troops onto Afghanistan and united the whole of America behind the cause. This benefitted the US both financially and politically.,because,Twin towers actually attacked by the US.,https://en.arguman.org/twin-towers-actually-attacked-by-the-us
553,That there is a border does not imply that there ought to be one.,Fallacy Of Is To Ought,There is.,but,Illegal immigrants should all be deported.,https://en.arguman.org/illegal-immigrants-should-all-be-deported
554,Not an argument.,Begging The Question,Why?,but,Illegal immigrants should all be deported.,https://en.arguman.org/illegal-immigrants-should-all-be-deported
555,Junk.,Prejudicial Language,Spooky scary skeletons,because,Skeletons are actually spooky.,https://en.arguman.org/skeletons-are-actually-spooky-81c0d90b0bcf4d89abc6fb562ff2c8b0
556,Lazy appeal without argument.,Slothful Induction,economics,but,We should stop corporations from shifting their profits and jobs overseas to avoid paying U.S. income taxes.,https://en.arguman.org/we-should-stop-corporations-from-shifting-their-profits-and-jobs-overseas-to-avoid-paying-us-income-taxes
557,"Prejudicial analogy of dubious relevance; false ""translation""",Poisoning The Well,"This is roughly translatable to the (false) statement: ""The town, eating the seed crop harvested this season, which was set aside for planting anew at maximum efficiency in the new Spring season, will reduce poverty more."" Only by a sophist trick of the mind does it APPEAR to reduce poverty more.",but,watch spiderman free online 2006 at 9movies.be Science Religion Evolution Technology Better Than Space Politics Philosophy Life Art Death Society Drugs Games Programming Movies Aliens Gender Universe Meta Socialism Economy Animals People,https://en.arguman.org/socialism-is-more-effective-at-poverty-reduction-and-ensuring-the-meeting-of-basic-needs-than-capitalism
558,Redirecting the topic on unprincipled grounds,Fallacy Of Special Pleading,Price information is EXACTLY at the heart of the debate of Capitalism versus Socialism. The computation of price information is the reason Capitalism succeeds and reduces Poverty. Communism/Socialism is a mandated destruction of price information in some local or larger area of the economy.,but,watch spiderman free online 2006 at 9movies.be Science Religion Evolution Technology Better Than Space Politics Philosophy Life Art Death Society Drugs Games Programming Movies Aliens Gender Universe Meta Socialism Economy Animals People,https://en.arguman.org/socialism-is-more-effective-at-poverty-reduction-and-ensuring-the-meeting-of-basic-needs-than-capitalism
559,Attacking the other's knowledge rather than supporting position.,Argument Against TheMan,Driving a car is not a civil right either. lol! do you know the definition of civil rights?,but,Human Beings are not born owing a debt to society.,https://en.arguman.org/human-beings-are-not-born-owing-a-debt-to-society
560,Attacking the other's imaginative capacities rather than supporting position.,Argument Against TheMan,"If you can not imagine human beings living without what we currently think of as government, then I guess it would be hard for you to grasp the concept of human rights existing without having a government to enforce them.",but,Human Beings are not born owing a debt to society.,https://en.arguman.org/human-beings-are-not-born-owing-a-debt-to-society
561,This is repetition without additional argument.,Begging The Question,"The point is that rights would still exist even without ""states"". States may protect rights or they may infringe on rights. They do not grant rights. Human beings have rights due to their human-ness regardless of whether they are born in a state that protects their rights.",but,Human Beings are not born owing a debt to society.,https://en.arguman.org/human-beings-are-not-born-owing-a-debt-to-society
562,Repetition is not valid argument.,Begging The Question,"This is incorrect. Again, rights are either protected by the state of they are not. Human and civil rights exist outside of states. If you are born in a country under an oppressive regime, you still have human rights even if the political forces are infringing on them.",but,Human Beings are not born owing a debt to society.,https://en.arguman.org/human-beings-are-not-born-owing-a-debt-to-society
563,"""X also causes Y"" is not an objection to ""W causes Y"".",Fallacy Of Red Herring,"Wars have been caused by lack of food & access to resources for underprivileged groups, need to liberate oppressed peoples, systems wanting to accumulate more resources and power, States presuming the need to strike before others get too strong -- and not all ideologies are religious in nature.",but,Religion should be abolished,https://en.arguman.org/religion-should-be-abolished
564,A self-contradicting axiom cannot be part of a consistent axiomatic system in the first place.,Fallacy Of Red Herring,"Any consistent axiomatic system of mathematics will contain theorems which cannot be proven.
If all the theorems of an axiomatic system can be proven then the system is inconsistent, and thus has theorems which can be proven both true and false.",because,This statement is false.,https://en.arguman.org/this-statement-is-false
565,What possibilities?,Slothful Induction,Think of the possibilities!,because,Eliminating hunger in the world will ultimately increase hunger due to increased population growth,https://en.arguman.org/eliminating-hunger-in-the-world-will-ultimately-increase-hunger-due-to-increased-population-growth
566,"This shifted away from defending the original claim and instead invokes a new, similar claim.",Wrong Direction,The military being a stronger force does not mean we do not have the right to fight back against them if they are oppressors.,but,The right to bear arms should be restricted.,https://en.arguman.org/the-right-to-bear-arms-should-be-restricted
567,Off-topic.,Fallacy Of Irrelevant Purpose,The right to tickle arms should be restricted.,however,The right to bear arms should be restricted.,https://en.arguman.org/the-right-to-bear-arms-should-be-restricted
568,It assumes that which is to be proved.,Begging The Question,Cats are better.,but,Cats are better than dogs.,https://en.arguman.org/cats-are-better-than-dogs
569,The historian's fallacy is an informal fallacy that occurs when one assumes that decision makers of the past viewed events from the same perspective and having the same information as those subsequently analyzing the decision.,Fallacy Of Previous This,"There have already been multiple attempts at building personal flying vehicles, but none were financially successful.",but,Tesla Motors Should Get Into Personal Aerial Vehicles (aka Big Drones for People).,https://en.arguman.org/tesla-motors-should-get-into-personal-aerial-vehicles-big-drones
570,"Argument from ignorance (from Latin: argumentum ad ignorantiam), also known as appeal to ignorance (in which ignorance represents ""a lack of contrary evidence""), is a fallacy in informal logic. It asserts that a proposition is true because it has not yet been proved false (or vice versa).",Appeal To Belief,Building the necessary infrastructure for casual aerial transport and traffic control would be extremely expensive and complicated.,but,Tesla Motors Should Get Into Personal Aerial Vehicles (aka Big Drones for People).,https://en.arguman.org/tesla-motors-should-get-into-personal-aerial-vehicles-big-drones
571,duplicated argument,Begging The Question,tooling and abstraction has made workflows extremely personal unstandard and preferential,because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
572,duplicated argument,Begging The Question,tooling and abstraction has made workflows extremely personal unstandard and preferential,because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
573,This line of reasoning is about extensions.,Fallacy Of Red Herring,"Many useful vim plugins cause bloat and increase startup time, like ghcmod.",but,Vim is better than emacs,https://en.arguman.org/vim-is-better-than-emacs
574,"Scotland is not a race, and has nothing to do with Mexico.",Irrelevant Conclusion,He loves Scotland,but,Donald Trump is a racist,https://en.arguman.org/donald-trump-is-a-racist
575,"Wrong, JSX is optional, you can build DOM elements without using JSX at all",Argument From Force,"JSX is a new language too and although it's not mendatory, as it's widespreaded you have to learn it too.",but,React is killing Angular,https://en.arguman.org/react-is-killing-angular
576,"This argument is about vim or Emacs, not UltraEdit",Irrelevant Conclusion,UltraEdit blows it away and can (if you want) emulate other editors.,but,Vim is better than emacs,https://en.arguman.org/vim-is-better-than-emacs
577,"parent comments is Templates vs JSX, not typescript vs javascript",Fallacy Of Red Herring,Angular 2 works with native Javascript (if you dont want to use Typescript),but,React is killing Angular,https://en.arguman.org/react-is-killing-angular
578,"This isn't an argument in favour or against the premise. It's simply a ""because it says so"" based on the belief that the constitution is paramount.",Appeal To Belief,It is guaranteed in the United States Constitution that every citizen has the right to bear arms.,because,"In the United States, any citizen should be allowed to own a gun.",https://en.arguman.org/in-the-united-states-any-citizen-should-be-allowed-to-own-a-gun
579,Actions of people practicing Islam can not be used for a proof of what Islam is or is not.,Fallacy Of False Cause,"Wars initiated by Muslims throughout the history were almost exclusively against the oppressor.
It is not logically accepted to be peaceful with the oppressor. And these wars, do not count against peace.
It is very clear in the Quran that, whenever peace is proposed, Muslims should accept it.",because,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
580,A mushroom is not a plan,Fallacy Of Red Herring,Lenin could not have been a mushroom because a mammal cannot be a plant.,but,Lenin was a mushroom,https://en.arguman.org/lenin-was-a-mushroom
581,"Humanity has not ""overcome the clutches of natural selection"".",Fallacy Of Red Herring,"Humanity only recently overcame the clutches of natural selection and so nearly all of our desires exist to ensure survival. Where we stand apart from other species is instead of pleasure being the motivation to survive, we can seek pleasure for its own sake. i.e. fine dining.",but,Humanity's goal is to survive as long as it can.,https://en.arguman.org/humanitys-goal-is-to-survive-as-long-as-it-can
582,"Some javascript is self indulgent, over complicated, buggy... but this does not mean all javascript is. The same applies to frameworks.",Irrelevant Conclusion,"Frameworks are self indulgent, over complicated, buggy, poorly performant, and ultimately unnecessary for most website development needs.",because,Vanilla Javascript is better than any plugin or framework,https://en.arguman.org/vanilla-javascript-is-better-than-any-plugin-or-framework
583,The analogy is false because the government do not own all the property in the country. Thus they are not in a position where they can give this take it or leave the country deal.,False Analogy,"It's all on the condition that you want to remain in the country and continue using the services provided by that country. Like how you can go to another business if you don't like the services or price, you have the option of going to another country. Theft doesn't give you any options or choice.",but,Taxation is robbery,https://en.arguman.org/taxation-is-robbery
584,The lack of usage of these static languages does not necessarily mean that there isn't a problem with a weakly typed language like JavaScript.,Irrelevant Conclusion,"There are plenty of transpilers (e.g., GWT/Java, TypeScript/JavaScript-ish and emscripten/C/C++/anything, etc.) that allow developers to work with statically typed languages and publish to the web. If usage is any measure, these tools alone have not successfully mitigated the problem.",but,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
585,About.com is an authority not a source.,Appeal To Authority,The Health Effects of Marijuana,because,Marijuana usage is harmful,https://en.arguman.org/marijuana-usage-is-harmful
586,Does increasing the size of the middle class necessarily produce a net societal benefit?,Begging The Question,Utilitarian again: A general liberal political course has proved to have a net positive tendency on society because it makes the middle class grow.,but,Paywalls for knowledge should ethically be forbidden.,https://en.arguman.org/paywalls-for-knowledge-should-ethically-be-forbidden
587,It's not 50 thousands but barely 3030,Begging The Question,even a simple linux tool like 'top' is 50 thousand lines of code when it could be a few hundred.,because,Modern software is too long and complicated,https://en.arguman.org/modern-software-is-too-long-and-complicated
588,"The argument is that ""Web programming is getting unnecessarily complicated."" Explicit in this statement is the term ""programming."" There is no meaningful programmatic complexity involved in publishing static text documents and therefore this is off topic.",Fallacy Of Irrelevant Purpose,"Simple plain text pages, such as the first web page ever created (see source), work fine on all these devices.",but,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
589,"""Anyone who thinks web programming is complicated because of javascript is in general an incompetent programmer""",Argument Against TheMan,"Anyone who thinks web programming is complicated because of javascript is in general an incompetent programmer.
Replace javascript with *any* other language, and you'd still have similar amount of complexity. Try any existing X->to->JS compilers if you want to.",however,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
